____________________xy________________2015_4_18_,,
,,
____,x__(_),y__(_)
14:42,1.0365,0.4973
14:45,1.0699,0.5029
14:48,1.1038,0.5085
14:51,1.1383,0.5142
14:54,1.1732,0.5198
14:57,1.2087,0.5255
15:00,1.2448,0.5311
15:03,1.2815,0.5368
15:06,1.3189,0.5426
15:09,1.3568,0.5483
15:12,1.3955,0.5541
15:15,1.4349,0.5598
15:18,1.4751,0.5657
15:21,1.516,0.5715
15:24,1.5577,0.5774
15:27,1.6003,0.5833
15:30,1.6438,0.5892
15:33,1.6882,0.5952
15:36,1.7337,0.6013
15:39,1.7801,0.6074
15:42,1.8277,0.6135
