magic_point = (86.5, 0)
magic_length = 886.5 - 204
magic_beginning_time = 8. + 54./60 + 36./3600

804 68 804.212813875 8.91 2.35666758645 
801 68 801.213610718 8.92666666667 2.34787871273 
796 68 796.214952133 8.94333333333 2.33323062896 
789 68 789.216858664 8.96 2.31272339535 
783 69 783.195537526 8.97666666667 2.29507849824 
778 70 778.174948196 8.99333333333 2.28036614856 
774 70 774.175852116 9.01 2.26864718569 
769 71 769.1561935 9.02666666667 2.25393756337 
763 70 763.178386748 9.04333333333 2.23642018095 
761 72 761.138128069 9.06 2.23044140093 
755 72 755.139225574 9.07666666667 2.21286219948 
750 74 750.104159434 9.09333333333 2.19810742691 
747 74 747.104577686 9.11 2.18931744377 
743 74 743.105140609 9.12666666667 2.17759748164 
737 75 737.089716385 9.14333333333 2.15996986486 
731 75 731.09045268 9.16 2.14238960492 
727 76 727.075821356 9.17666666667 2.13062511753 
723 76 723.076240793 9.19333333333 2.11890473493 
718 77 718.062845439 9.21 2.10421346649 
714 77 714.063197483 9.22666666667 2.0924928864 
707 78 707.051094335 9.24333333333 2.07194459878 
705 78 705.051239273 9.26 2.06608421765 
702 79 702.040062959 9.27666666667 2.05726025776 
695 79 695.040466448 9.29333333333 2.03674861963 
689 80 689.030659695 9.31 2.01913746431 
686 80 686.030793769 9.32666666667 2.01034664841 
681 80 681.031019852 9.34333333333 1.99569529627 
674 81 674.022440279 9.36 1.97515733415 
670 81 670.022574247 9.37666666667 1.96343611501 
666 81 666.022709823 9.39333333333 1.95171490058 
663 82 663.015271317 9.41 1.94290189397 
655 82 655.015457833 9.42666666667 1.91945921709 
653 83 653.009379718 9.44333333333 1.91358059991 
647 84 647.004829967 9.46 1.89598484972 
644 84 644.004852466 9.47666666667 1.88719370686 
642 84 642.004867583 9.49333333333 1.8813329453 
637 84 637.00490579 9.51 1.86668104261 
633 84 633.00493679 9.52666666667 1.85495952173 
628 85 628.001791399 9.54333333333 1.84029828981 
625 85 625.001799997 9.56 1.83150710622 
621 85 621.001811592 9.57666666667 1.81978552847 
620 84 620.005040302 9.59333333333 1.81686458697 
